".rownames","dirty.fctr","dirty.fctr.predict.All.X.no.rnorm.rf.prob","dirty.fctr.predict.All.X.no.rnorm.rf","dirty.fctr.predict.All.X.no.rnorm.rf.accurate"
"10","Y",0.842,"Y",TRUE
"101","Y",0.346,"Y",TRUE
"102","Y",0.318,"Y",TRUE
"105","Y",0.716,"Y",TRUE
"108","Y",0.432,"Y",TRUE
"11","Y",0.682,"Y",TRUE
"112","Y",0.386,"Y",TRUE
"116","Y",0.602,"Y",TRUE
"117","Y",0.288,"N",FALSE
"118","Y",0.424,"Y",TRUE
"119","Y",0.808,"Y",TRUE
"12","Y",0.534,"Y",TRUE
"120","Y",0.68,"Y",TRUE
"121","Y",0.822,"Y",TRUE
"123","Y",0.52,"Y",TRUE
"126","Y",0.592,"Y",TRUE
"127","Y",0.766,"Y",TRUE
"128","Y",0.77,"Y",TRUE
"129","Y",0.81,"Y",TRUE
"131","Y",0.604,"Y",TRUE
"143","Y",0.336,"Y",TRUE
"146","Y",0.59,"Y",TRUE
"150","Y",0.332,"Y",TRUE
"151","Y",0.262,"N",FALSE
"153","Y",0.464,"Y",TRUE
"157","Y",0.576,"Y",TRUE
"159","Y",0.4,"Y",TRUE
"16","Y",0.55,"Y",TRUE
"160","Y",0.398,"Y",TRUE
"162","Y",0.308,"Y",TRUE
"163","Y",0.464,"Y",TRUE
"164","Y",0.69,"Y",TRUE
"169","Y",0.648,"Y",TRUE
"172","Y",0.756,"Y",TRUE
"174","Y",0.348,"Y",TRUE
"177","Y",0.468,"Y",TRUE
"178","Y",0.65,"Y",TRUE
"179","Y",0.624,"Y",TRUE
"181","Y",0.43,"Y",TRUE
"183","Y",0.664,"Y",TRUE
"186","Y",0.468,"Y",TRUE
"19","Y",0.546,"Y",TRUE
"192","Y",0.386,"Y",TRUE
"194","Y",0.614,"Y",TRUE
"195","Y",0.428,"Y",TRUE
"196","Y",0.814,"Y",TRUE
"199","Y",0.412,"Y",TRUE
"200","Y",0.322,"Y",TRUE
"201","Y",0.654,"Y",TRUE
"204","Y",0.574,"Y",TRUE
"207","Y",0.58,"Y",TRUE
"211","Y",0.606,"Y",TRUE
"215","Y",0.16,"N",FALSE
"216","Y",0.362,"Y",TRUE
"217","Y",0.232,"N",FALSE
"218","Y",0.63,"Y",TRUE
"219","Y",0.672,"Y",TRUE
"220","Y",0.76,"Y",TRUE
"221","Y",0.576,"Y",TRUE
"222","Y",0.476,"Y",TRUE
"223","Y",0.728,"Y",TRUE
"229","Y",0.382,"Y",TRUE
"233","Y",0.676,"Y",TRUE
"234","Y",0.75,"Y",TRUE
"245","Y",0.762,"Y",TRUE
"249","Y",0.39,"Y",TRUE
"252","Y",0.734,"Y",TRUE
"254","Y",0.796,"Y",TRUE
"255","Y",0.418,"Y",TRUE
"256","Y",0.324,"Y",TRUE
"257","Y",0.678,"Y",TRUE
"26","Y",0.798,"Y",TRUE
"261","Y",0.504,"Y",TRUE
"263","Y",0.556,"Y",TRUE
"265","Y",0.33,"Y",TRUE
"269","Y",0.414,"Y",TRUE
"27","Y",0.802,"Y",TRUE
"272","Y",0.798,"Y",TRUE
"273","Y",0.544,"Y",TRUE
"275","N",0.45,"Y",FALSE
"276","N",0.304,"Y",FALSE
"277","N",0.448,"Y",FALSE
"28","Y",0.674,"Y",TRUE
"280","N",0.388,"Y",FALSE
"281","N",0.624,"Y",FALSE
"290","N",0.422,"Y",FALSE
"294","N",0.388,"Y",FALSE
"295","N",0.362,"Y",FALSE
"296","N",0.438,"Y",FALSE
"297","N",0.356,"Y",FALSE
"30","Y",0.716,"Y",TRUE
"300","N",0.426,"Y",FALSE
"301","N",0.564,"Y",FALSE
"303","N",0.222,"N",TRUE
"304","N",0.61,"Y",FALSE
"305","N",0.568,"Y",FALSE
"313","N",0.54,"Y",FALSE
"316","N",0.23,"N",TRUE
"317","N",0.354,"Y",FALSE
"320","N",0.492,"Y",FALSE
"321","N",0.51,"Y",FALSE
"324","N",0.434,"Y",FALSE
"327","N",0.212,"N",TRUE
"330","N",0.33,"Y",FALSE
"331","N",0.342,"Y",FALSE
"333","N",0.362,"Y",FALSE
"334","N",0.296,"N",TRUE
"337","N",0.45,"Y",FALSE
"338","N",0.272,"N",TRUE
"339","N",0.368,"Y",FALSE
"34","Y",0.416,"Y",TRUE
"340","N",0.448,"Y",FALSE
"347","N",0.424,"Y",FALSE
"35","Y",0.372,"Y",TRUE
"350","N",0.294,"N",TRUE
"352","N",0.492,"Y",FALSE
"355","N",0.222,"N",TRUE
"356","N",0.61,"Y",FALSE
"357","N",0.578,"Y",FALSE
"360","N",0.438,"Y",FALSE
"363","N",0.614,"Y",FALSE
"366","N",0.412,"Y",FALSE
"373","N",0.376,"Y",FALSE
"376","N",0.488,"Y",FALSE
"377","N",0.566,"Y",FALSE
"38","Y",0.566,"Y",TRUE
"380","N",0.77,"Y",FALSE
"381","N",0.476,"Y",FALSE
"382","N",0.384,"Y",FALSE
"384","N",0.25,"N",TRUE
"386","N",0.39,"Y",FALSE
"391","N",0.622,"Y",FALSE
"393","N",0.682,"Y",FALSE
"394","N",0.666,"Y",FALSE
"400","N",0.346,"Y",FALSE
"401","N",0.442,"Y",FALSE
"403","N",0.686,"Y",FALSE
"407","N",0.388,"Y",FALSE
"410","N",0.752,"Y",FALSE
"412","N",0.318,"Y",FALSE
"417","N",0.586,"Y",FALSE
"422","N",0.552,"Y",FALSE
"423","N",0.522,"Y",FALSE
"425","N",0.438,"Y",FALSE
"426","N",0.552,"Y",FALSE
"430","N",0.264,"N",TRUE
"431","N",0.746,"Y",FALSE
"434","N",0.7,"Y",FALSE
"436","N",0.626,"Y",FALSE
"442","N",0.408,"Y",FALSE
"443","N",0.29,"N",TRUE
"445","N",0.538,"Y",FALSE
"446","N",0.59,"Y",FALSE
"447","N",0.524,"Y",FALSE
"45","Y",0.84,"Y",TRUE
"450","N",0.456,"Y",FALSE
"456","N",0.48,"Y",FALSE
"457","N",0.682,"Y",FALSE
"458","N",0.728,"Y",FALSE
"461","N",0.372,"Y",FALSE
"465","N",0.444,"Y",FALSE
"468","N",0.672,"Y",FALSE
"47","Y",0.34,"Y",TRUE
"470","N",0.788,"Y",FALSE
"472","N",0.524,"Y",FALSE
"474","N",0.29,"N",TRUE
"475","N",0.394,"Y",FALSE
"477","N",0.644,"Y",FALSE
"480","N",0.504,"Y",FALSE
"482","N",0.308,"Y",FALSE
"484","N",0.262,"N",TRUE
"485","N",0.456,"Y",FALSE
"488","N",0.618,"Y",FALSE
"490","N",0.276,"N",TRUE
"491","N",0.464,"Y",FALSE
"494","N",0.622,"Y",FALSE
"496","N",0.628,"Y",FALSE
"499","N",0.396,"Y",FALSE
"5","Y",0.716,"Y",TRUE
"50","Y",0.518,"Y",TRUE
"500","N",0.594,"Y",FALSE
"509","N",0.512,"Y",FALSE
"513","N",0.556,"Y",FALSE
"515","N",0.332,"Y",FALSE
"518","N",0.304,"Y",FALSE
"52","Y",0.402,"Y",TRUE
"520","N",0.332,"Y",FALSE
"526","N",0.468,"Y",FALSE
"527","N",0.248,"N",TRUE
"529","N",0.726,"Y",FALSE
"53","Y",0.708,"Y",TRUE
"531","N",0.346,"Y",FALSE
"532","N",0.12,"N",TRUE
"534","N",0.422,"Y",FALSE
"536","N",0.46,"Y",FALSE
"538","N",0.378,"Y",FALSE
"54","Y",0.496,"Y",TRUE
"541","N",0.242,"N",TRUE
"543","N",0.212,"N",TRUE
"545","N",0.554,"Y",FALSE
"546","N",0.488,"Y",FALSE
"59","Y",0.222,"N",FALSE
"6","Y",0.688,"Y",TRUE
"60","Y",0.52,"Y",TRUE
"67","Y",0.522,"Y",TRUE
"69","Y",0.272,"N",FALSE
"70","Y",0.492,"Y",TRUE
"72","Y",0.412,"Y",TRUE
"74","Y",0.71,"Y",TRUE
"76","Y",0.5,"Y",TRUE
"77","Y",0.384,"Y",TRUE
"78","Y",0.304,"Y",TRUE
"80","Y",0.494,"Y",TRUE
"83","Y",0.582,"Y",TRUE
"87","Y",0.256,"N",FALSE
"88","Y",0.482,"Y",TRUE
"89","Y",0.43,"Y",TRUE
"9","Y",0.398,"Y",TRUE
"90","Y",0.474,"Y",TRUE
"97","Y",0.322,"Y",TRUE
